epoch,epoch_seconds,train_loss,train_dice,val_loss,val_dice,val_iou,lr,vram_allocated_mb,vram_reserved_mb
1,141.39741587638855,0.19472455516278386,0.767154876956481,0.10350671564302748,0.92690638358703,0.8657670148402097,2.9673306630970396e-05,352.27490234375,2594.0
2,140.49514055252075,0.09276428623106293,0.8866782584983505,0.08248504907602355,0.9299587345941023,0.8711321115651922,2.8707504591756882e-05,352.27490234375,2594.0
3,140.8521339893341,0.07035047558317323,0.916410352877959,0.07064220208733801,0.9383644891279688,0.8861198478186014,2.7144804065905464e-05,352.27490234375,2594.0
4,140.87384486198425,0.06247924765075495,0.928263727553144,0.07329767108673141,0.9329471240952024,0.876362363930377,2.505350256506493e-05,352.27490234375,2594.0
5,140.97073578834534,0.057219093646816835,0.9336718615883577,0.06897652158070178,0.9378833285925455,0.8849544593017736,2.2525000000000002e-05,352.27490234375,2594.0
6,141.03782320022583,0.04989535110313931,0.9423111400050008,0.0665820837020874,0.9406817675037973,0.8898319390091669,1.9669804065905465e-05,352.27490234375,2594.0
7,140.71229481697083,0.04612667737659328,0.9466913307835917,0.06161617466972934,0.9447261592656747,0.8967259000347538,1.661270052585142e-05,352.27490234375,2594.0
8,140.9158456325531,0.04148354234998833,0.952034847053115,0.06661764077014393,0.940509682968475,0.8892884259014698,1.3487299474148584e-05,352.27490234375,2594.0
9,140.99513292312622,0.03786906023660977,0.9553867504448594,0.06341581519634004,0.9455159779533752,0.8977931807924918,1.043019593409454e-05,352.27490234375,2594.0
10,140.88443636894226,0.03647804449877901,0.9573595239547545,0.06313167607027387,0.9456196146608222,0.8980420328835382,7.575000000000004e-06,352.27490234375,2594.0
11,139.87143301963806,0.034376200340792744,0.9601093822108481,0.06609275126977572,0.9434762636022432,0.8944212753450245,5.046497434935075e-06,352.27490234375,2594.0
12,136.30657529830933,0.03271510485440254,0.9616198292476141,0.06546262663508219,0.9449966660957567,0.8970590609230881,2.9551959340945373e-06,352.27490234375,2594.0
13,136.65660667419434,0.03150420911042748,0.9628287204998529,0.06817242979175514,0.9439292557228337,0.8951956147901886,1.3924954082431155e-06,352.27490234375,2594.0
14,136.7949674129486,0.0305801417290388,0.9642940974665548,0.0678577944340687,0.9443751386116433,0.8959652817622125,4.26693369029605e-07,352.27490234375,2594.0
15,136.56096649169922,0.030485178065861394,0.9639213596412797,0.06691451438717426,0.9443017024134444,0.8958356448628639,3e-05,352.27490234375,2594.0
16,136.75336027145386,0.04531041537234205,0.9491167634665847,0.07634306545295412,0.9337050355238401,0.8774177390663049,2.9918102335755688e-05,352.27490234375,2594.0
17,136.5006332397461,0.04613267362326802,0.9482264282230385,0.06669829052592081,0.9408065853141068,0.8895622999800734,2.9673306630970396e-05,352.27490234375,2594.0
18,136.70090246200562,0.039330476435845745,0.9554626092404306,0.06695324487038075,0.9430046280940428,0.8937791844609061,2.9268294918612546e-05,352.27490234375,2594.0
19,136.49291467666626,0.03354171275876029,0.9616932158240813,0.06600726901420526,0.9436303186950014,0.8947452226931426,2.8707504591756882e-05,352.27490234375,2594.0
20,136.69056034088135,0.03137795951680274,0.9641389902942405,0.06873976238190181,0.9442177512682651,0.8958164059896946,2.7997079786577362e-05,352.27490234375,2594.0
21,136.47342348098755,0.033187504943631936,0.9622572132485185,0.06855973746213648,0.9432222265917075,0.894106723990848,2.7144804065905464e-05,352.27490234375,2594.0
22,136.455304145813,0.03019583487103064,0.9656832981444075,0.06833231168252135,0.9443636277955055,0.8959892335253992,2.6160015140887046e-05,352.27490234375,2594.0
23,136.30623292922974,0.029326935965037777,0.9661895145395237,0.06874004414393789,0.9438199145187639,0.8950692611522412,2.505350256506493e-05,352.27490234375,2594.0
