epoch,seconds,train_loss,val_macro_f1,val_macro_auc
1,22.078742742538452,0.75810666207005,0.46792950513538745,0.5484396948836604
2,19.975605249404907,0.6373401656746864,0.5370963368865675,0.5758511722951378
3,20.050233364105225,0.5389723558636272,0.575042581355012,0.6228108816470885
4,20.05443239212036,0.43140212139662576,0.5790243902439025,0.5937442490459732
5,20.430705547332764,0.32885346693151135,0.576399543852374,0.5724294240242517
6,19.84711003303528,0.2592311924433007,0.5397090214582632,0.5751560747681437
7,20.034261226654053,0.21159978703979185,0.4872151898734177,0.5926762700900633
8,19.867371559143066,0.1884220466017723,0.5868347338935574,0.6318850474238404
9,20.131635665893555,0.1636121231405174,0.5108011289622232,0.5997224614465994
10,21.711870193481445,0.14774556929136023,0.5195754716981132,0.6043485968054934
11,21.11454463005066,0.14725523694034884,0.5352165061467387,0.5724968326692464
12,20.293987035751343,0.1407101084204281,0.5639528275078147,0.6357589943581322
13,20.44162344932556,0.12314277701079845,0.517481884057971,0.5869560516112241
14,20.483734846115112,0.12121369722573196,0.5396974229176255,0.5885319972173421
15,20.27146553993225,0.10426160660298432,0.5222222222222221,0.5941952946478808
16,20.426297664642334,0.1126435376046335,0.5313903863432166,0.5950512633917806
17,20.399519443511963,0.09910332186914542,0.5440581595994456,0.5919217037751521
18,20.324549913406372,0.07968343265683335,0.5260869565217392,0.5814611944568842
19,20.673548936843872,0.07778727742569412,0.49039381883180533,0.5729353309525724
20,20.980570793151855,0.07765618448748308,0.5274613003095975,0.5816604085569602
21,20.526458978652954,0.08371507192907088,0.505883301096067,0.5724855460631322
22,20.32474970817566,0.08927028705639874,0.5426059554256486,0.5685345042888147
23,20.339504957199097,0.08195929998970207,0.5198332206445797,0.5894987890462029
24,20.2947096824646,0.06944345515769194,0.5111499877231751,0.5997962645591955
25,20.148916482925415,0.08394128303317462,0.533179394139315,0.6099590304331683
26,20.553659200668335,0.06827806752613362,0.5517791110610684,0.577814352792801
27,20.312172174453735,0.06566012861645397,0.5483940528884349,0.5848338778080158
28,20.38483762741089,0.05487544623696629,0.5498376623376623,0.5957670897110552
29,20.266918897628784,0.05402462055687519,0.5619707715452396,0.616933014303704
30,20.283350944519043,0.04977677321499761,0.5456317358404036,0.6131043310138138
31,20.570124626159668,0.0521569203804521,0.5318538647342994,0.6089199737044566
32,20.337060928344727,0.04370262805262909,0.5436465781409602,0.6091463900084589
33,20.30845284461975,0.04873342847670702,0.5419724749808681,0.6090858494953323
34,20.292425870895386,0.04907498803154072,0.5763038548752835,0.6124418876143014
35,20.28632426261902,0.04978466146242093,0.5605603448275862,0.6065102306697134
36,20.272486209869385,0.044582654804210455,0.5602202087731645,0.599681970328522
37,20.191293239593506,0.052761896075133013,0.5609443777511004,0.5972931474655614
38,20.28097653388977,0.043883294017766326,0.4992424242424242,0.6131342197074956
39,20.28498935699463,0.04522352127413101,0.5576528688398437,0.6023742780208298
40,20.481067180633545,0.045429249102359306,0.5371601654846335,0.609083517057655
